time,id,ip,topic,attack
141,00000000000000000000,0.0.0.0,t11,1
196,11111111111111111111,85.85.85.85,t11,1
226,22222222222222222222,170.170.170.170,t11,1
297,33333333333333333333,0.0.0.0,t11,1
349,44444444444444444444,85.85.85.85,t11,1
503,55555555555555555555,170.170.170.170,t11,1
539,66666666666666666666,0.0.0.0,t11,1
603,77777777777777777777,85.85.85.85,t11,1
691,88888888888888888888,170.170.170.170,t11,1
930,99999999999999999999,0.0.0.0,t11,1
1000,00000000000000000000,85.85.85.85,t11,1
1033,11111111111111111111,170.170.170.170,t11,1
1174,22222222222222222222,0.0.0.0,t11,1
1270,33333333333333333333,85.85.85.85,t11,1
1299,44444444444444444444,170.170.170.170,t11,1
1540,55555555555555555555,0.0.0.0,t11,1
1860,88192834755155667035237963864649275649082954183574947218999456574029650421027,85.114.128.44,t1,0
1946,77777777777777777777,170.170.170.170,t11,1
2178,88888888888888888888,0.0.0.0,t11,1
2216,99999999999999999999,85.85.85.85,t11,1
2346,00000000000000000000,170.170.170.170,t11,1
2575,11111111111111111111,0.0.0.0,t11,1
2691,22222222222222222222,85.85.85.85,t11,1
2755,33333333333333333333,170.170.170.170,t11,1
2765,44444444444444444444,0.0.0.0,t11,1
2822,55555555555555555555,85.85.85.85,t11,1
2917,66666666666666666666,170.170.170.170,t11,1
3161,77777777777777777777,0.0.0.0,t11,1
3501,88888888888888888888,85.85.85.85,t11,1
3522,56359602860688603137113700651888479119773227978022020626620180964444218427561,223.65.202.110,t4,0
3565,00000000000000000000,0.0.0.0,t11,1
3596,11111111111111111111,85.85.85.85,t11,1
3759,22222222222222222222,170.170.170.170,t11,1
3839,33333333333333333333,0.0.0.0,t11,1
3840,44444444444444444444,85.85.85.85,t11,1
3967,55555555555555555555,170.170.170.170,t11,1
4018,66666666666666666666,0.0.0.0,t11,1
4192,77777777777777777777,85.85.85.85,t11,1
4303,88888888888888888888,170.170.170.170,t11,1
4303,99999999999999999999,0.0.0.0,t11,1
4371,00000000000000000000,85.85.85.85,t11,1
4573,11111111111111111111,170.170.170.170,t11,1
4601,22222222222222222222,0.0.0.0,t11,1
4640,33333333333333333333,85.85.85.85,t11,1
4845,44444444444444444444,170.170.170.170,t11,1
4866,55555555555555555555,0.0.0.0,t11,1
4950,66666666666666666666,85.85.85.85,t11,1
4977,77777777777777777777,170.170.170.170,t11,1
5320,88888888888888888888,0.0.0.0,t11,1
5482,99999999999999999999,85.85.85.85,t11,1
5527,114277258859603556510297626363559645931710858723276512971383766487037441870975,50.60.243.12,t1,0
5542,11111111111111111111,0.0.0.0,t11,1
5580,22222222222222222222,85.85.85.85,t11,1
5611,22677216096247778836728979338655133960620343567502660295225986539618485437814,62.182.81.214,t6,0
5651,44444444444444444444,0.0.0.0,t11,1
5663,55555555555555555555,85.85.85.85,t11,1
5743,66666666666666666666,170.170.170.170,t11,1
5866,77777777777777777777,0.0.0.0,t11,1
5945,88888888888888888888,85.85.85.85,t11,1
6113,99999999999999999999,170.170.170.170,t11,1
6191,00000000000000000000,0.0.0.0,t11,1
6523,11111111111111111111,85.85.85.85,t11,1
6615,22222222222222222222,170.170.170.170,t11,1
6704,33333333333333333333,0.0.0.0,t11,1
6763,44444444444444444444,85.85.85.85,t11,1
6854,55555555555555555555,170.170.170.170,t11,1
6902,66666666666666666666,0.0.0.0,t11,1
6988,77777777777777777777,85.85.85.85,t11,1
7022,88888888888888888888,170.170.170.170,t11,1
7043,99999999999999999999,0.0.0.0,t11,1
7064,00000000000000000000,85.85.85.85,t11,1
7159,11111111111111111111,170.170.170.170,t11,1
7266,22222222222222222222,0.0.0.0,t11,1
7330,33333333333333333333,85.85.85.85,t11,1
7340,44444444444444444444,170.170.170.170,t11,1
7481,55555555555555555555,0.0.0.0,t11,1
7691,66666666666666666666,85.85.85.85,t11,1
7948,77777777777777777777,170.170.170.170,t11,1
8133,88888888888888888888,0.0.0.0,t11,1
8311,41039802931764171854762974282819087272807661537391396922020850307020669104267,54.238.197.67,t1,0
8361,00000000000000000000,170.170.170.170,t11,1
8439,11111111111111111111,0.0.0.0,t11,1
8488,22222222222222222222,85.85.85.85,t11,1
8611,33333333333333333333,170.170.170.170,t11,1
8643,44444444444444444444,0.0.0.0,t11,1
8810,55555555555555555555,85.85.85.85,t11,1
8999,66666666666666666666,170.170.170.170,t11,1
9225,77777777777777777777,0.0.0.0,t11,1
9314,88888888888888888888,85.85.85.85,t11,1
9613,99999999999999999999,170.170.170.170,t11,1
9699,00000000000000000000,0.0.0.0,t11,1
9759,11111111111111111111,85.85.85.85,t11,1
9867,22222222222222222222,170.170.170.170,t11,1
10426,33333333333333333333,0.0.0.0,t11,1
10675,44444444444444444444,85.85.85.85,t11,1
10833,55555555555555555555,170.170.170.170,t11,1
10841,66666666666666666666,0.0.0.0,t11,1
10876,66884574491892911187832994411679762571690220619530151954430215160159003900669,86.122.49.78,t1,0
10936,88888888888888888888,170.170.170.170,t11,1
11036,99999999999999999999,0.0.0.0,t11,1
11222,00000000000000000000,85.85.85.85,t11,1
11250,11111111111111111111,170.170.170.170,t11,1
11381,22222222222222222222,0.0.0.0,t11,1
11394,33333333333333333333,85.85.85.85,t11,1
11419,44444444444444444444,170.170.170.170,t11,1
11543,103424084703346068188106894272652123274347574020677791967654308188866089976866,162.234.255.206,t1,0
11577,66666666666666666666,85.85.85.85,t11,1
